,player,games,wins,losses,winrate,kills,deaths,assists,kdar,cs,cspm,gold,gpm,killpart,killshare,goldhsare,champpool
81,xlb,38,20,20,52.6,2.21,2.84,6.82,3.18,159.16,4.7,10200.0,301.0,0.682,0.16699999999999998,0.174,9
82,xiaohu,38,20,20,52.6,3.61,2.47,5.5,3.68,280.92,8.3,13300.0,392.0,0.688,0.272,0.22699999999999998,14
83,angel,41,19,19,46.3,4.22,2.15,5.98,4.75,256.51,7.75,12700.0,384.0,0.74,0.306,0.221,17
84,sofm,41,19,19,46.3,1.78,3.17,8.76,3.32,174.27,5.27,10400.0,315.0,0.765,0.129,0.182,11
85,swordart,41,19,19,46.3,0.56,3.29,9.32,3.0,32.44,0.98,7400.0,225.0,0.7170000000000001,0.040999999999999995,0.13,10
86,huanfeng,39,19,19,48.7,4.77,2.62,5.51,3.93,324.18,9.87,14900.0,455.0,0.75,0.348,0.26,8
87,biubiu,22,11,11,50.0,2.41,3.27,6.5,2.72,218.18,6.65,11500.0,351.0,0.616,0.16699999999999998,0.2,8
88,bin,19,8,8,42.1,2.74,3.79,4.89,2.01,254.79,7.63,12400.0,371.0,0.5870000000000001,0.21100000000000002,0.217,6
89,weiwei,2,0,0,0.0,2.5,3.5,8.5,3.14,294.0,7.78,14100.0,373.0,0.733,0.16699999999999998,0.243,2
90,beishang,41,20,20,48.8,2.76,2.46,8.17,4.44,170.61,5.5,,,0.755,0.191,,12
91,jiumeng,41,20,20,48.8,4.95,2.59,5.88,4.19,270.93,8.73,,,0.7490000000000001,0.342,,8
92,missing,41,20,20,48.8,0.9,2.9,9.85,3.71,41.8,1.35,,,0.7440000000000001,0.062,,11
93,morgan,41,20,20,48.8,2.68,3.02,5.8,2.81,230.44,7.43,,,0.5870000000000001,0.185,,9
94,teacherma,31,16,16,51.6,3.61,2.55,7.58,4.39,223.71,7.15,,,0.71,0.22899999999999998,,11
95,plex,10,4,4,40.0,1.8,2.8,5.3,2.54,209.1,6.92,10000.0,332.0,0.6829999999999999,0.17300000000000001,0.198,5
96,369,37,23,23,62.2,2.97,2.51,5.84,3.51,257.73,7.87,,,0.574,0.19399999999999998,,13
97,karsa,37,23,23,62.2,2.49,2.95,8.46,3.72,168.19,5.14,,,0.713,0.162,,8
98,knight,37,23,23,62.2,4.84,2.16,6.65,5.31,275.32,8.41,,,0.748,0.315,,19
99,photic,31,17,17,54.8,3.97,2.65,5.65,3.63,275.0,8.55,,,0.682,0.281,,7
100,qiuqiu,26,17,17,65.4,0.81,2.46,9.77,4.3,36.81,1.13,,,0.696,0.053,,7
101,yuyanjia,11,6,6,54.5,0.73,3.45,9.45,2.95,29.82,0.9,7900.0,239.0,0.647,0.046,0.133,5
102,jackeylove,6,6,6,100.0,5.83,3.33,8.33,4.25,336.17,9.43,16800.0,471.0,0.649,0.267,0.24600000000000002,4
103,cube,43,21,21,48.8,2.21,2.23,5.26,3.34,239.67,7.28,11700.0,356.0,0.631,0.187,0.209,9
104,iboy,43,21,21,48.8,3.14,1.95,5.19,4.26,295.65,8.98,13700.0,417.0,0.703,0.265,0.245,10
105,forge,33,19,19,57.6,3.76,2.73,5.3,3.32,278.36,8.37,13200.0,398.0,0.6990000000000001,0.29,0.228,13
106,aix,31,18,18,58.1,2.61,2.23,6.42,4.06,180.45,5.51,10800.0,329.0,0.69,0.2,0.188,10
107,hang,26,13,13,50.0,0.81,3.12,8.62,3.02,54.77,1.69,7800.0,241.0,0.7040000000000001,0.06,0.139,7
108,maestro,17,8,8,47.1,0.47,3.06,5.82,2.06,32.35,0.96,7100.0,211.0,0.665,0.05,0.127,7
109,chieftain,12,3,3,25.0,1.33,3.42,4.67,1.76,169.25,5.06,9500.0,284.0,0.6990000000000001,0.155,0.17800000000000002,5
110,zeka,10,2,2,20.0,2.9,1.6,2.3,3.25,241.4,7.57,11100.0,348.0,0.642,0.358,0.223,7
111,y4,33,1,1,3.0,2.24,3.36,4.06,1.87,184.0,6.09,10200.0,338.0,0.725,0.258,0.214,11
112,aliez,28,1,1,3.6,1.71,3.82,2.96,1.22,214.18,7.08,10000.0,332.0,0.502,0.184,0.209,9
113,clx,28,1,1,3.6,1.46,4.04,4.25,1.42,185.79,6.15,9600.0,317.0,0.623,0.16,0.19899999999999998,15
114,mole,27,1,1,3.7,2.22,4.26,3.78,1.41,230.67,7.58,10800.0,354.0,0.698,0.259,0.22399999999999998,11
115,xiaohan,22,0,0,0.0,2.05,4.09,3.95,1.47,147.95,4.89,9200.0,306.0,0.7290000000000001,0.249,0.195,8
116,max,16,0,0,0.0,0.38,4.69,3.63,0.85,46.88,1.58,6300.0,214.0,0.5770000000000001,0.054000000000000006,0.138,6
117,as6,9,1,1,11.1,1.33,4.11,4.56,1.43,138.78,4.5,8700.0,283.0,0.57,0.129,0.17600000000000002,4
118,daylight,2,0,0,0.0,0.5,2.5,3.0,1.4,128.0,4.75,7700.0,284.0,0.5379999999999999,0.077,0.18100000000000002,2
